observation_1,observation_2,hypothesis_1,hypothesis_2,label
Molly turned 5 Year's old today.,This was her best birthday so far.,Molly bought her parents a kitten for her birthday.,Parents hired magicians for his birthday party.,2
Hank was looking for a new religion.,Hank ended up joining this new religion.,The old religion was very wild.,The new religion was very peaceful.,2
Amy and Kim stayed over Lynn's house.,Lynn ended up convincing her to break curfew and sneak out again.,Katies parents were not okay with her being out that late.,Lynn had gotten in trouble last time for sneaking out.,1
Eli didn't know much about using Microsoft Access.,Eli easily updated the column's values.,Eli checked for Access examples online.,Eli watched an online tutorial to find out how to copy values in a column.,1
While out on a hike gloria ran into a snake.,She kept her eyes open for more snakes on the trail.,She was became convinced that this was the only snake there.,she started to walk in the opposite direction.,2
Ben spent hours putting up Christmas lights.,"After resetting the breaker, the lights came back on.",Ben finally finished and plugged them in and the electric went out.,He like easter lights.,1
My grandmother and I used to go to the park for picnics.,The important part was just spending time with her.,"My grandmothers sandwiches were awful, but I didn't mind.",My grandmothers temper was awful.,1
Greg went to the park hoping to play a game of basketball.,Greg was relieved that he was going to get to play.,Greg forgot his ball and asked some people to play.,Greg was the lead actor in the play.,1
I was in Fourth grade.,I was the spelling bee champion!,"After minutes of practice, I was ready to compete in the fourth grade spelling bee.",I got asked to be in the spelling bee.,2
Mel got a summer job at the ice cream parlor.,Mel suddenly loved her summer job!,Mel got a small bonus one day.,Mel was afraid to start a job but made some new friends.,2
My partner realized she is depressed this year.,The struggle made her a stronger person.,My partner overcame her depression.,She began to see a doctor to help her with her heartburn.,1
"Jay was working at his job, a restaurant.",Jay had to give it to her.,But Jay owe money to his sister for a package.,A guy came in to pick up his order.,1
Patsy was in charge of lining up people to work at a football game.,Another group had to bring more to help out so that we had enough.,Patsy did not have enough resources.,She realized there weren't enough hot dogs.,1
Jeremy's mother didn't approve of his lifestyle.,Jeremy had to move back in with his mother.,he went to go live with his father.,Jeremy lost his job.,2
Ray loved to go hiking.,Ray was able to hike again with the help of the brace.,but during a recent trip he broke his leg becouse he did not bring the proper equipment becouse he thought he was a pro.,Ray hurt his leg and couldn't afford to get a brace put on.,1
Ben and Pam have been arguing a lot lately.,Ben and Pam are a lot happier and are still married.,"Ben and Pam went to couples therapy, and learned that they were not understanding each other.",They decided to go their separate ways.,1
The hikers suddenly stopped in their tracks.,"The hikers turned into sprinters, likely setting a record or two.",The hikers stumbled on a tree branch.,The hikers stumbled on a bear and her cubs.,2
I needed to get a Christmas present for my father.,"When he opened his present, he said it was his best gift this year.",I decided to get him a tool he wanted.,I bought him a new pizza.,1
Kenny was lost on the streets.,The driver ended up finding it and dropped him off.,Kenny lost his wedding ring in the taxi.,He didn't know where he wanted to go.,1
Lenny wanted to watch a movie.,"When he got home, he prepared to return his three movies.",Lenny picked out three movies but he'd forgotten his wallet.,Lenny's friends invited him to come over.,2
Hank walked on his deck towards his back door.,Got his power drill and drilled the board back in place.,A board from Hank's deck broke off as he walked on it.,Hank did not notice a baseboard on the deck was loose.,1
Ben had an interview for a promising job.,Ben aced his interview and got the job.,Ben learned a lot about the company before his interview so that he would appear keen.,Ben prepared the night before with many shots.,1
I read Remembrance of Things Past in 2008.,I was happy to have read such a long work.,I felt triumphant as I read the first page.,It recently came up in a game of trivia.,2
We had a lot of mice in 2011.,I killed several mice that way.,One way we got rid of them was with the use of a BB gun.,We decided to get raccoon traps.,1
My sister is going to have a baby.,It's a girl!,My sister wished for a girl.,She went to get a mammogram.,1
There once was a princess who tried to write a story.,Then the prince and the princess lived happily ever after.,The princess never met a prince and fell in love.,She sat and wrote a novel that was read around the world.,2
Diana order a set of pregnancy tests.,She was in tears since the results were positive.,Diana was suddenly sleepy.,Diana isn't ready to have a kid.,2
"While I was in Hawaii, I was able to golf at Kapalua.",I had one of my best rounds and best experiences golfing there.,The weather was perfect and the course is away from the tourists part of the island.,I got a hole in seven.,1
Rob tried to be patient as he waiting in line.,When his turn was up he got right back in line.,Rob left the line and went home.,He slid down the slide.,2
I felt out of shape.,I was happy when I made it to the top!,I decided to climb down the hill anyway.,I was doing diet and exercise for a while.,2
Amy was sitting on a swing at Lynn's house.,"She realized at 14, they were getting too old for swing sets.",The swing was too small for her to get on it.,The swingset chain nearly broke.,1
Gina returned to her bedroom ready to work on her report.,Instead she talked on the phone for 2 hours.,Gina turned off her phone when a friend called.,Gina's best friend called her.,2
Carey walked her dog in the dog park every day.,Now Carey walks 9 dogs in the dog park every day.,Carey put flyers out to offer to walk other dogs.,One day someone hired her to eat their dog.,1
Lucy was waiting for a delivery from Schwan's.,Grandma had ordered her favorite ice cream just for Lucy.,Lucy was expecting to fast like her Grandma.,Lucy was given ice cream.,2
"Once, there was a very fat man.","They tried to bury him, but he was too fat for the coffin.",He lost so much weight he died.,He passed away from his heart being overburdened.,2
Rufus has wanted to see his son Jonathan for several months.,Rufus feels great that he finally got to see his son.,rufus made a special trip.,"Rufus made the trek to see his son, and his son was happy to see him.",2
Priya decided to try a new restaurant.,Priya decided not to eat and left.,Priya saw a rat run across the floor.,"Fortunately, the service was great and the food looked delicious.",1
Will wanted to quit smoking.,He finally quit smoking.,Will ceased buying cigarettes at the store.,Will kept buying cigarettes at the store.,1
I once went on an ice skating date with someone.,He laughed and suggested we do something else.,He was a great skater.,We both were terrible and fell a lot.,2
Tess and Jane took the vow.,They hugged each other and went outside to play.,Tess and Jane decided to play very carefully.,They agreed that they were done playing.,1
